node,between_centrality
0,0.0037116926065760346
102,0.0029647533978632537
17,0.0001088626230142495
51,0.0035970576267282403
47,0.005868030267268235
30,0.0022553451390120998
27,0.00850890739623171
67,0.0022700783165136504
89,0.0016574651302886836
80,0.0018260624423809264
40,0.004434863333670875
109,0.0016301240747585493
19,0.0012906833701119907
50,0.003729578472969018
41,0.003837932556903532
23,0.00523317317423902
96,0.0031769733537492595
106,0.0012168084406503528
8,0.0009102709944789946
12,0.00018443987076077972
33,0.007640216847491707
42,0.0049291203087599
16,0.0006233650486762472
56,0.00523973296427747
18,0.003858755589437278
35,0.0003114103830382255
43,0.0013287176146001322
4,0.0008180333432448819
44,0.0013776799256819067
24,0.0015559330792103835
36,0.006076448322761973
45,0.0012110442024475206
3,0.015261935429350086
28,0.010592174934807023
21,0.0027251808423524653
11,0.00041870073269450277
37,0.005743178815197144
31,0.003905379191281658
29,0.005166717117240515
34,8.796003871271477e-05
25,0.001965497168350394
32,0.004274422004233182
1,0.0028237537393155476
9,0.010129461019240666
7,0.007602961389665809
14,0.0026244871908123074
10,0.00863486615035761
38,0.0056326690397667965
26,0.013202750637976655
5,0.0018693648948128986
22,0.004245266101323757
6,0.007121514489787327
73,0.0020041653265326447
87,0.002321494951049143
55,0.001596958021699843
83,0.0019184462325287641
39,0.005116904907783506
99,0.0013427875572934208
85,0.002021150772866104
61,0.003354955524872032
114,0.0033415538931629504
52,0.004961512290358841
105,0.00265647814462062
70,0.0035635504675260356
63,0.004339545723218215
60,0.003509830177790842
2,2.488740594276926e-06
90,0.00243594669100799
119,0.0011677990622268796
92,0.0011265261386542314
111,0.0008542531380967377
88,0.0026591824775547006
103,0.0025055124346455675
95,0.0006455693509728334
117,0.0011815466363753956
74,0.0033384685930710396
78,0.0012883732976658976
68,0.0028753953360550776
94,0.0042538497854694235
104,0.002246542609208131
118,0.000507020755257179
93,0.0018426935946313585
76,0.002545163742279999
97,0.0020777718240643592
101,0.0014488813365108688
79,0.0020308198687559145
77,0.00209922583963848
108,0.00048429177367342863
64,0.002630780212889021
13,7.802318896506055e-05
71,0.003394331492601886
59,0.002116405131860072
62,0.0011772538652119414
53,0.00589337211508998
58,0.004885015330932839
107,0.0022515729136712305
15,0.0003799094349477937
48,0.005571099214904895
84,0.0019829144373238812
98,0.0013013075820006907
66,0.001307728541669114
82,0.003063163978582234
65,0.003569185495288091
72,0.0024757420493191074
46,0.005756929385903588
86,0.003503655516558937
54,0.003997035112755406
49,0.0010851732396761505
20,0.009065367322338843
91,0.0010763042072074373
113,0.0005328461695841874
57,0.006261214469970937
120,0.0007445189704814272
69,0.0018127864310796093
81,0.0008664089687969735
112,0.002458867465172501
110,0.0004943986140908127
115,0.0014200241828024843
116,0.0015647691883403693
75,0.003295223613163026
100,0.0016589142741426338
