node,in_deg_centrality
0,0.725
102,0.575
17,0.3833333333333333
51,0.775
47,0.825
30,0.625
27,0.8833333333333333
67,0.6583333333333333
89,0.6
80,0.55
40,0.7
109,0.6166666666666667
19,0.5833333333333334
50,0.7666666666666666
41,0.7583333333333333
23,0.7166666666666667
96,0.6
106,0.6166666666666667
8,0.3416666666666667
12,0.3416666666666667
33,0.8666666666666667
42,0.7416666666666667
16,0.43333333333333335
56,0.7666666666666666
18,0.725
35,0.375
43,0.55
4,0.7416666666666667
44,0.5583333333333333
24,0.5166666666666666
36,0.8166666666666667
45,0.725
3,0.9083333333333333
28,0.8833333333333333
21,0.6666666666666666
11,0.7333333333333333
37,0.8083333333333333
31,0.6083333333333333
29,0.8333333333333334
34,0.35
25,0.6083333333333333
32,0.8
1,0.6833333333333333
9,0.8666666666666667
7,0.825
14,0.5416666666666666
10,0.8333333333333334
38,0.7
26,0.9333333333333333
5,0.7083333333333334
22,0.7416666666666667
6,0.9249999999999999
73,0.6833333333333333
87,0.5833333333333334
55,0.6666666666666666
83,0.6083333333333333
39,0.8416666666666667
99,0.6333333333333333
85,0.65
61,0.7083333333333334
114,0.6
52,0.7916666666666666
105,0.65
70,0.7166666666666667
63,0.7083333333333334
60,0.7583333333333333
2,0.075
90,0.625
119,0.49166666666666664
92,0.5083333333333333
111,0.525
88,0.5833333333333334
103,0.575
95,0.5333333333333333
117,0.4666666666666667
74,0.75
78,0.5583333333333333
68,0.6916666666666667
94,0.6166666666666667
104,0.6166666666666667
118,0.4583333333333333
93,0.55
76,0.7333333333333333
97,0.5333333333333333
101,0.6083333333333333
79,0.6083333333333333
77,0.6666666666666666
108,0.45
64,0.7083333333333334
13,0.21666666666666667
71,0.7166666666666667
59,0.5916666666666667
62,0.625
53,0.7916666666666666
58,0.7833333333333333
107,0.48333333333333334
15,0.275
48,0.8166666666666667
84,0.5083333333333333
98,0.5916666666666667
66,0.6
82,0.65
65,0.675
72,0.6666666666666666
46,0.825
86,0.6166666666666667
54,0.7583333333333333
49,0.65
20,0.7083333333333334
91,0.4166666666666667
113,0.44166666666666665
57,0.7833333333333333
120,0.48333333333333334
69,0.6583333333333333
81,0.5583333333333333
112,0.4
110,0.4166666666666667
115,0.43333333333333335
116,0.43333333333333335
75,0.6416666666666666
100,0.5833333333333334
